,time,type,price
0,2017-06-19 04:43:05,BUY,2559.6
0,2017-06-19 04:44:04,CLOSE,2565.65
0,2017-06-19 04:44:35,SELL,2565.71
0,2017-06-19 04:47:10,CLOSE,2563.86
0,2017-06-19 04:54:10,SELL,2566.05
0,2017-06-19 04:54:49,CLOSE,2562.0
0,2017-06-19 04:54:52,SELL,2566.63
0,2017-06-19 04:54:57,CLOSE,2562.11
0,2017-06-19 05:06:54,SELL,2563.87
0,2017-06-19 05:06:58,CLOSE,2559.53
0,2017-06-19 05:12:43,BUY,2559.49
0,2017-06-19 05:24:17,CLOSE,2557.2
0,2017-06-19 05:25:00,SELL,2558.85
0,2017-06-19 05:30:23,CLOSE,2556.08
0,2017-06-19 05:32:16,BUY,2553.72
0,2017-06-19 05:34:22,CLOSE,2558.75
0,2017-06-19 05:37:19,SELL,2561.73
0,2017-06-19 05:38:13,CLOSE,2558.85
0,2017-06-19 05:46:52,BUY,2556.92
0,2017-06-19 05:47:58,CLOSE,2560.79
0,2017-06-19 05:50:04,SELL,2561.42
0,2017-06-19 06:00:04,CLOSE,2560.94
0,2017-06-19 06:00:29,BUY,2561.01
0,2017-06-19 06:02:13,CLOSE,2561.85
0,2017-06-19 06:02:19,BUY,2559.42
0,2017-06-19 06:03:41,CLOSE,2562.06
0,2017-06-19 06:07:12,BUY,2556.58
0,2017-06-19 06:18:09,CLOSE,2538.74
0,2017-06-19 06:18:14,BUY,2537.18
0,2017-06-19 06:18:20,CLOSE,2538.77
0,2017-06-19 06:19:55,BUY,2536.07
0,2017-06-19 06:23:11,CLOSE,2532.84
0,2017-06-19 06:23:35,BUY,2526.88
0,2017-06-19 06:31:13,CLOSE,2517.73
0,2017-06-19 06:31:31,SELL,2520.23
0,2017-06-19 06:32:43,CLOSE,2514.02
0,2017-06-19 06:34:49,SELL,2521.12
0,2017-06-19 06:38:18,CLOSE,2517.75
0,2017-06-19 06:38:59,BUY,2513.02
0,2017-06-19 06:46:38,CLOSE,2503.99
0,2017-06-19 06:47:04,SELL,2507.89
0,2017-06-19 07:04:03,CLOSE,2516.62
0,2017-06-19 07:05:07,SELL,2521.95
0,2017-06-19 07:15:12,CLOSE,2535.33
0,2017-06-19 07:17:10,BUY,2531.99
0,2017-06-19 07:20:44,CLOSE,2533.15
0,2017-06-19 07:26:05,BUY,2521.98
0,2017-06-19 07:27:07,CLOSE,2523.15
0,2017-06-19 07:30:15,BUY,2516.89
0,2017-06-19 07:34:52,CLOSE,2523.37
0,2017-06-19 07:35:41,SELL,2526.16
0,2017-06-19 07:38:13,CLOSE,2524.03
0,2017-06-19 07:38:14,BUY,2523.88
0,2017-06-19 07:39:15,CLOSE,2531.82
0,2017-06-19 07:42:54,SELL,2536.1
0,2017-06-19 07:54:14,CLOSE,2537.48
0,2017-06-19 07:54:36,BUY,2537.47
0,2017-06-19 08:12:56,CLOSE,2506.17
0,2017-06-19 08:13:21,SELL,2506.43
0,2017-06-19 08:14:14,CLOSE,2501.59
0,2017-06-19 08:14:29,BUY,2500.0
0,2017-06-19 08:18:44,CLOSE,2489.2
0,2017-06-19 08:18:58,BUY,2484.15
0,2017-06-19 08:19:13,CLOSE,2489.08
0,2017-06-19 08:22:23,SELL,2492.63
0,2017-06-19 08:32:09,CLOSE,2498.83
0,2017-06-19 08:32:59,BUY,2496.93
0,2017-06-19 08:37:28,CLOSE,2500.08
0,2017-06-19 08:37:31,SELL,2500.74
0,2017-06-19 08:38:05,CLOSE,2491.1
0,2017-06-19 08:40:25,BUY,2488.0
0,2017-06-19 08:40:53,CLOSE,2492.0
0,2017-06-19 08:43:28,SELL,2494.56
0,2017-06-19 08:47:10,CLOSE,2499.92
0,2017-06-19 08:47:12,SELL,2501.7
0,2017-06-19 08:50:18,CLOSE,2508.38
0,2017-06-19 08:52:39,SELL,2513.27
0,2017-06-19 08:54:15,CLOSE,2515.44
0,2017-06-19 09:00:51,SELL,2516.42
0,2017-06-19 09:01:37,CLOSE,2514.98
0,2017-06-19 09:01:42,BUY,2509.71
0,2017-06-19 09:09:51,CLOSE,2511.43
0,2017-06-19 09:10:03,SELL,2511.53
0,2017-06-19 09:12:51,CLOSE,2511.42
0,2017-06-19 09:13:07,BUY,2510.0
